shared_label,broad_class,vel_cell_type,wang_type_updated,psychad_subclass
EN_L2_3_IT,Excitatory,L2-3,EN-L2_3-IT,EN_L2_3_IT
EN_L4_IT,Excitatory,L4,EN-L4-IT,
EN_L5_ET,Excitatory,L5,EN-L5-ET,EN_L5_ET
EN_L5_IT,Excitatory,L5,EN-L5-IT,EN_L3_5_IT_1|EN_L3_5_IT_2|EN_L3_5_IT_3
EN_L5_6_NP,Excitatory,,EN-L5_6-NP,EN_L5_6_NP
EN_L6_CT,Excitatory,L6,EN-L6-CT,EN_L6_CT
EN_L6_IT,Excitatory,L5-6-IT,EN-L6-IT,EN_L6_IT_1|EN_L6_IT_2
EN_L6B,Excitatory,,EN-L6b,EN_L6B
EN_Newborn,Excitatory,Progenitors,EN-Newborn|EN-IT-Immature|EN-ET-Immature|EN-CT-Immature,
EN_SP,Excitatory,SP,,
IN_PV,Inhibitory,PV|PV_MP,IN-MGE-PV,IN_PVALB|IN_PVALB_CHC
IN_SST,Inhibitory,SST|SST_RELN,IN-MGE-SST,IN_SST
IN_VIP,Inhibitory,VIP,IN-CGE-VIP,IN_VIP
IN_LAMP5,Inhibitory,,IN-CGE-LAMP5,IN_LAMP5_LHX6|IN_LAMP5_RELN
IN_SNCG_ADARB2,Inhibitory,,IN-CGE-SNCG,IN_ADARB2
IN_RELN,Inhibitory,RELN,,
IN_CALB2,Inhibitory,CALB2|CCK|NOS|SV2C|INT|Interneurons,,
IN_Immature,Inhibitory,,IN-Immature,
Astro,Astrocytes,Fibrous_astrocytes|Protoplasmic_astrocytes,Astrocyte|Astrocyte-Fibrous|Astrocyte-Protoplasmic,Astro
Oligo,Oligos,Oligos,Oligodendrocyte|Oligodendrocyte-Immature,Oligo
OPC,OPC,OPC,OPC,OPC
Microglia,Microglia,Microglia,Microglia,Micro|Adaptive|PVM
Endo,Endothelial,,Endothelial|Pericyte|SMC|VLMC,Endo|PC|SMC|VLMC
Glial_progenitor,Other,Glial_progenitors,RG-oRG|RG-tRG|RG-vRG|IPC,
